id,title,company,content,publicationDate,location,type,tags
296,Data Scientist Big Data Automotive (M/F/X),Jefferson Wells Belgium,Data Scientist Big Data Automotive (M/F/X) Brussels – contracting #Automotive #BigData #ArtificialIntelligence #MachineLearning #Engineering #BEV #PHEV For our client leader in the automotive sector we are looking for a Data Scientist Big Data for the Powertrain Department. What are your responsibilities? You will be working within Digital MBD team on AI / ML / Big data related tasks : Your profile ? What can you expect? Jefferson Wells offers you a permanent contract as consultant with an attractive salary package and will give you access to trainings in technical matters and soft skills. We will be your career partner for each step along the way. Are you interested in this job? Don’t hesitate to apply !,2022-03-29 15:41:25.486036,[Europe] Brussels Region Belgium,Full-Time,18
297,Geodata Engineer,Rock.estate,You are a Data Engineer with a knack for geodata? You want to take our product to the next level by optimizing our data pipeline and be part of a rapidly growing startup? Check out this opportunity ðŸ‘‡ Who we are Rockestate is a data science company specialized in the remote and real-time evaluation of buildings on a country-wide scale. We combine various forms of geodata with the latest AI and machine learning techniques. Multiple insurers and banks already use our solution to understand the value and the risks of their customerâ€™s houses. This enables them to digitize their product offering with frictionless customer journeys without compromising on risk management. What you can expect Your key responsibilities will include: Our engineering team is rapidly evolving and besides your key responsibilities you will also get the opportunity to interact with other technical areas such as DevOps and backend development. What we are offering you: Required skills & experience You could be the one we are looking for if you have experience with: If you have experience with some or all of the following technologies weâ€™ll put you on the top of our list: How to apply Apply now via LinkedIn or send us a message to jobs@rock.estate with your resume and anything else that could help convince us that you are the right candidate for the job!,2022-03-29 15:41:25.486085,[Europe] Brussels Brussels Region Belgium,Full-Time,18
298,Clinical AI/ML scientist,ArtiQ,We are looking for a Clinical AI scientist with a strong scientific and clinical background in AI/ML who is passionate to take on the challenge of developing AI models for pragmatic clinical solutions. The Clinical AI Scientist will work on enhancements of our machine learning-based cloud-services for the diagnosis of lung diseases and for improvements to respiratory clinical trials. Your role is to further drive the R&D focus of the company and its product lines. You will boost the current machine learning-based products for the detection of lung diseases and deep learning-based platform for clinical trials. You will aim to further build up clinically validated technology and lead the next generation of products. TASKS: Essentially to lead and shape the next generation of healthcare: - Develop validate and clinically implement AI models - Go beyond the regular Random Forest or XGBoost approach to push the boundaries of lung disease diagnosis - Lead the design execution and coordination of research projects - Perform robust data analysis and communicate results to different stakeholders - Derive novel insights guide decision making and create analytical solutions to address questions of interest to our clinical and pharmaceutical stakeholders - Stay on the edge of relevant research and help ArtiQ increase its scientific visibility by participating at scientific conferences and publishing in scientific journals - Collaborate with a wider multidisciplinary team to define and drive technical developments forward YOUR SKILLS: A multi-cultural communicative and ownership-taking person who is eager to learn and keep up to date with the state-of-the-art machine learning evolutions. - Master's or PhD degree in a quantitative field (e.g. computer science artificial intelligence biostatistics applied mathematics physics ...) - At least 3 years of experience with AI/ML including statistical modelling causal inference methods multivariate regression and classification deep learning data curation and model validation - Expert proficiency in Python or R and multiple machine learning and visualization libraries - Previous experience with medical or clinical data - Previous experience with clinical research projects (diagnostics real-world evidence or clinical trials projects) is a big plus - Knowledge of AWS (or other cloud platforms) is a plus WE OFFER: We provide a dynamic young international work atmosphere dedicated to developing the next generation of healthcare products to improve quality of life. - Competitive compensation and work flexibility - Opportunity to steer and build the company's product line - Perspective for constant learning improvement and attractive career evolution - Attendance to international conferences workshops and visit international partners - Opportunity to contribute to the development of the most novel healthcare solutions critical to saving people’s lives WHO WE ARE: ArtiQ is a young dynamic and innovative spin-off company of the University of Leuven. ArtiQ is on a mission to empower medical professionals with artificial intelligence to accurately and timely diagnose treat and follow-up patients with respiratory diseases. Looking for a new challenge? Please contact jobs@artiq.eu and show us how we can improve lives with technology together.,2022-03-29 15:41:25.486260,[Europe] Leuven Flemish Region Belgium,Full-Time,18
299,Machine Learning Engineer,Proximus Ada,Are you passionate about #AI or #cybersecurity? You love working with high profile teams with a sure taste for challenge and variety? You dream to join a fast-growing company with start-up mentality? Eager to learn continuously? Join Proximus Ada! Within this Proximus’ newly created centre of excellence for AI and Cybersecurity the team of data scientists data engineers and analytics translators supports the Proximus group in designing developing and deploying internal AI-driven applications in line with the business needs. Role description As a Machine Learning engineer you will play a key role in developing end-to-end solutions for machine learning use cases. By taking up a use case right from the start you will help business define and scope the problem pick the right machine learning solution and technology as well as ensure implementation integration and deployment of your solution to production. You will do so while ensuring that our internal governance processes and best practices are respected. You will also collaborate with other team members in knowledge sharing as well as continuously improving our way of working. Responsibilities Profile Technical skills Attitudes/Behavior Languages,2022-03-29 15:41:25.486587,[Europe] Brussels Region Belgium,Full-Time,18
300,Data Scientist,Allianz Belgium,The insurance world is changing fast due to ever increasing availability of data as well as evolution of technology. By consequence the industry must move fast to act instead of just reacting. In this context we are looking for a motivated proactive and team-oriented Data Scientist to reinforce our Data Office team. You want to work with different areas of business within the company? You want to collaborate with other analytics teams of Allianz? You want to participate on advanced and strategic data projects? You might be the Data Scientist we’re looking for! What do you get in return? Let’s do the match: Working as a Data Scientist within our tribe will give you the opportunity to: Let's introduce ourselves: We are Allianz. Allianz has been the number 1 insurer worldwide for years. Something we are proud of but it is easier to get there than to stay. We work very hard for this every day. We believe it is very important to maintain the good relationship with our brokers and even improve it where possible. Every day again. Allianz has therefore deliberately chosen to market our products and services exclusively through professional brokers. In Belgium Allianz is therefore one of the major players in the insurance market. We are with more than a thousand colleagues in Belgium and that number doubles in our Dutch colleagues.,2022-03-29 15:41:25.486657,[Europe] Brussels Brussels Region Belgium,Full-Time,18
301,Business Intelligence Engineer,OneSource Consulting,,2022-03-29 15:41:25.486805,[Europe] Brussels Region Belgium,Full-Time,18
302,Software Developer C++,XenomatiX - TRUE SOLID STATE LIDAR,What you'll do As a member of our R&D-team you will be working on the next generation solid-state laser-based sensors for autonomous driving. The outcome of your work will be presented to car manufacturers and their supply chain. Being an experienced software engineer you will improve the performance of our optical systems and process 3D measurement data to digitize and interpret the scene of a moving vehicle. Your software will turn measurement data into intelligence for autonomous cars. You will be involved in both Research and Product Development activities. Using your skills in mathematics and C++ you will be hands-on in inventing designing and testing our future products. You will work closely together with hardware engineers to create world-class technology and products that will be demonstrated in our offices in Leuven as well as in automotive development centers worldwide. What you'll need What we offer The opportunity is here make it yours!,2022-03-29 15:41:25.486833,[Europe] Leuven Flemish Region Belgium,Full-Time,18
303,Senior Speech and Audio Algorithm Engineer,GOODIX Technology INC.,Goodix Multimedia Solutions (MMS) is developing innovative hardware and software products that directly improve the user experience in mobile phones tablets mobile accessories computing devices and in the car environment. Our team in Belgium is working with Tier 1 product vendors like Samsung Huawei OPPO Xiaomi LG Vivo … to launch the next revolution in human-machine interfacing. Next to Belgium we have development teams in The Netherlands France India and China. As we are increasing our investments in innovation and technology development for voice and audio we have an opportunity based in our Leuven office for a creative passionate and hands-on Senior Algorithm Engineer with a solid background in digital speech & audio signal processing and/or machine learning. You will: You have: You are: We are: We offer: We need: · YOU to be a part of our enthusiastic team that continuously works on the cutting-edge technologies!,2022-03-29 15:41:25.486888,[Europe] Leuven Flemish Region Belgium,Full-Time,18
304,AI Project Manager,European DIGITAL SME Alliance,Europe is experiencing exciting and challenging times. Digital tools and technologies are ever-more shaping our daily lives and transforming different sectors. The European DIGITAL SME Alliance is tasked to represent and support the main driver of such changes in Europe - small and medium-sized enterprises (SMEs) in the ICT sector. Representing over 45000 SMEs through its national and regional member associations DIGITAL SME is Europe’s first and largest ICT SME association. Along with the rapid acceleration of Europe’s digital transformation the Alliance is growing and in need of a highly motivated and hands-on Project Manager to strengthen our Brussels-based team! The selected candidate will manage EU-funded projects in the Artificial Intelligence domain such as Horizon Europe Erasmus+ EC grants and service contracts etc. The future project manager will also help to strengthen the synergies between the association’s policy activities and project tasks and will contribute to the activities of the Focus Group AI. The successful candidate will be a self-starter willing to take initiative and able to manage a wide variety of project tasks. A demonstrable track-record of previous experience in EU project management is required. In addition we are looking for an individual with a keen interest in digital policies particularly in AI and experience in community building stakeholder engagement and organisation of workshops. Please carefully read the application procedure before you apply! Please send your application by email to i.lanfranchi@digitalsme.eu subject: “VACANCY/PM22” including the following documents and information: Applications missing the above information will not be considered. Your role and responsibilities Requirements: Desirable skills Work Conditions As our Project Manager you will be part of a young international and dynamic team. Our office is in the heart of the EU district in Brussels easily accessible by public transportation. Since the pandemic we have established a hybrid work model where the team works partly from the office partly remotely. Flexible working hours are also part of the deal – the Alliance’s organisational culture is result- rather than control-driven. We offer a competitive salary package in line with your skills and level of experience. The employment contract will be for 2 years to be extended into a permanent contract. Short missions abroad within the EU will be possible in the foreseeable future (depending on the situation around COVID-19). The European DIGITAL SME Alliance is committed to workplace diversity and inclusion of people from diverse backgrounds abilities and experiences. We strongly encourage qualified candidates from diverse backgrounds to apply! Application procedure Please send your application by email to i.lanfranchi@digitalsme.eu subject: “VACANCY/PM22” including the following documents and information: Deadline: 31st March,2022-03-29 15:41:25.487077,[Europe] Brussels Brussels Region Belgium,Full-Time,18
305,Python Programmer- Brussels- 12-month contract- Outside IR35,Empiric,Python Programmer- Brussels- 12-month contract (opportunity to extend)- 2 days remote per week- Outside IR35. My industry lead client has an exciting opportunity to work as a Senior Data Scientist providing their experience in the AI Platform team and aiding the creation of web services tools and machine learning models for their business units. A successful candidate will be exceptionally strong in software development and the following experience (2+ years) in: • Operations; scaling operational support etc. • Python • Data engineering • DevOps/MLOps • Excellent English communication This role requires close work with other engineers and data scientists and a successful candidate will be expected to work proactively without supervision whilst providing support to their more junior colleagues. This is a rare opportunity to be a part of a team improving the innovative data analytics R&D and builds solutions of a highly competitive and successful global brand. Interested? Send your CV through to sean.sevant@empiric.com asap if you are keen to discuss this role further.,2022-03-29 15:41:25.487314,[Europe] Brussels Brussels Region Belgium,Full-Time,18
306,Senior AI Engineer,European Recruitment,We are seeking an experienced engineer to join the AI Platform team which creates web services tools and machine learning models for the business units. You will join a team that focuses on innovative data analytics R&D and builds solutions used by various internal businesses across the globe. The role in the team will be to work closely with other engineers and data scientists on architecture design development grooming estimation planning and prioritization of tasks. About You: · Experience: Master’s Degree in a relevant scientific field or equivalent amount of industry experience. · ML and cloud: familiarity with data driven ML enabled cloud systems processing various types of data (tabular time series images) · Operations: service level ownership logs metrics alarms scaling operational support KEY SKILLS AND EXPERIENCE · 4+ years of systems development and deployment experience · Cloud (at least one of: AWS GCP Azure) · Design and development of RESTful micro-services · Python: this is the first language we speak · Data engineering pipelines workflow scheduling · Experience in DevOps/MLOps · Infrastructure-as-code tooling: production systems automation version-controlled code · CI/CD · Docker · Kubernetes · Experience with data analytics machine learning · Excellent coding reviewing and testing DESIRABLE EXPERIENCE · Prefect MLFlow · Tensorflow Pytorch · Prometheus Grafana · SQL Pandas · Terraform By applying to this role you understand that we may collect your personal data and store and process it on our systems. For more information please see our Privacy Notice (https://eu-recruit.com/about-us/privacy-notice/),2022-03-29 15:41:25.487415,[Europe] Brussels Brussels Region Belgium,Full-Time,18
307,Robotics AI Engineer,Pegasus AI Technologies,Robotics AI Engineer 机器人人工智能工程师 Company Introduction Pegasus AI Technologies has combined the latest know-how of robotics and artificial intelligence with the expertise of internationally acknowledged ethologists to develop a pet companion robot that can improve both the physical and mental health of your beloved pets! Our Pet Companion Robot can utilize its artificial intelligence to recognize and analyze your pet’s needs and initiate interactions to maintain its well-being by teaching new tricks dispensing rewards and treats as well as launching stimulating games completely autonomously. Responsibilities • Design/Update pet recognition system for real-time use • Use Machine Learning and Neural Networks for visual recognition of pets and related objects • Collect data annotate data train test and deploy ML systems • Participate in AI application lifecycle (concept design build deploy test and release) • Develop clean readable code and design software applications based on user specifications • Evaluate user feedback in order to improve AI solution for better usability • Create manuals and reports for completed tasks to improve code reuse • Work collaboratively in teams composed of Product Managers Designers and Engineers and report effectively on task progress Requirements • BS or above in Computer Science Software Engineering Computer Engineering or equivalent experience • Experience with ML learning algorithms and Neural Networks in particular for real-time use • Experience with TensorFlow 2+ for ML model creation training testing and deployment • Experience with production-level NN model export for use in commercial applications • Experience with data collection and proper annotation for NN training • Experience with Python programming • Experience with NN mode transfer learning and fine-tuning • Experience with CV detected target tracking • General Knowledge of CV algorithms and camera calibration techniques • Fluency of Chinese language • Good level of English language Bonus Skills • Experience in pet detection/classification • Knowledge of CV-based processing of online video streaming • Experience with other ML NN development frameworks Caffe PyTorch • Fluency in English language 公司简介 神马人工智能科技（深圳）有限公司（以下简称为神马AI）将机器人和人工智能的最新技术与国际公认的动物行为学家的专业知识相结合，开发出一款宠物陪伴机器人，它可以改善主人心爱宠物的身心健康。 神马AI研发的宠物陪伴机器人会用人工智能技术来识别并分析宠物姿势、状态、种类以及需求等，也可以自主启动激光游戏与宠物进行交流互动。另外用户可以通过相关APP来追踪训练宠物的进展并根据宠物的表现投喂零食作为奖励。 职责 • 设计、更新可实时使用的宠物识别系统 • 使用TensorFlow和神经网络进行宠物和相关物体的视觉识别 • 收集数据，注释数据，训练，测试和部署ML系统 • 参与AI应用程序的生命周期（概念、设计、构建、部署、测试、发布） • 开发干净易读的代码并根据用户规范设计软件应用程序 • 依据评估用户反馈，改善人工智能功能的实用性 • 为已完成的任务创建手册和报告，便于提高代码的复用性 • 与产品经理、设计师、工程师组成的团队协作，并高效地报告任务进度 要求 • 计算机科学、软件工程、计算机工程或相关专业，本科及以上学历 • 有ML学习算法的经验，尤其是神经网络的实时使用经验 • 拥有使用TensorFlow2+ 的ML模型创建、训练、测试和部署的经验 • 具有用于商业应用的生产级 NN 模型导出经验 • 具有用于神经网络训练的数据收集及正确注释的经验 • 有Python编程经验 • 具有神经网络模型的迁移学习和微调经验 • CV探测目标跟踪经验 • 具备CV算法和摄像机标定技术的基本知识 • 汉语流利 • 具有良好的英语水平 额外技能 • 拥有宠物的检测及分类的经验 • 拥有基于CV的在线视频流处理知识 • 具有其它ML、NN开发框架的经验，如：Caffe、PyTorch等。 • 英语流利,2022-03-29 15:41:25.487665,[China] Beijing China,Full-Time,18
308,Data Scientist,Boston Consulting Group (BCG),Who We Are Boston Consulting Group partners with leaders in business and society to tackle their most important challenges and capture their greatest opportunities. BCG was the pioneer in business strategy when it was founded in 1963. Today we help clients with total transformation-inspiring complex change enabling organizations to grow building competitive advantage and driving bottom-line impact. BCG GAMMA combines innovative skills in computer science artificial intelligence (AI) statistics and machine learning with deep industry and functional expertise. The BCG GAMMA team is comprised of world-class data scientists software and data engineers as well as product experts with a consulting mindset. We specialize in creating competitive advantage for our clients through AI driven transformations. Our teams own the full analytics value-chain end to end: framing new business challenges designing innovative algorithms implementing and deploying scalable solutions and enabling colleagues and clients to fully embrace AI. Our product offerings span from fully custom-build to industry specific leading edge AI software solutions. What You'll Do As a Data Scientist you’ll be part of our rapidly growing team. You’ll have the chance to apply data science methods and analytics to real-world business situations across a variety of industries to drive significant business impact. You’ll have the chance to partner with clients in a variety of BCG regions and industries and on key topics like climate change enabling them to design build and deploy new and innovative solutions. Additional responsibilities will include developing and delivering thought leadership in scientific communities and papers as well as leading conferences on behalf of BCG GAMMA. Successful candidates are intellectually curious builders who are biased toward action scrappy and communicative. WHO YOU ARE We are looking for talented individuals with a passion for data science statistics operations research and transforming organizations into AI led innovative companies · Comfortable in a client-facing role with the ambition to lead teams · Likes to distill complex results or processes into simple clear visualizations · Explain sophisticated data science concepts in an understandable manner · Love building things and are comfortable working with modern development tools and writing code collaboratively (bonus points if you have a software development or DevOps experience) · Significant experience applying advanced analytics to a variety of business situations and a proven ability to synthesize complex data · Deep understanding of modern machine learning techniques and their mathematical underpinnings and can translate this into business implications for our clients · Have strong project management skills What You'll Bring (Experience & Qualifications) YOU BRING · Degree in computer science applied mathematics statistics machine learning or other data centric disciplines with relevant internships or up to 8 years of relevant industry work experience providing advanced analytics solutions · Strong record of extracurricular activity professional accomplishment and leadership · Additional experience in core analytic methods such as predictive modeling customer segmentation/clustering network analysis supply chain optimization simulation etc. · Fluency in at least one coding language (e.g. Python R) WORK ENVIRONMENT · Fast-paced intellectually intense service-oriented environment · Fluency in English is required as well as fluency in the local language for some locations · Ability to travel based on client and business needs. Expect 30-50%,2022-03-29 15:41:25.488061,[China] Shanghai China,Full-Time,18
309,Speech Algorithm Engineer,Graphcore,At Graphcore we’re optimistic for a future where people live healthier more informed more creative lives. Our team is at the forefront of the artificial intelligence revolution enabling innovators from all industries and sectors to expand human potential with technology. We believe our IPU technology will become the worldwide standard for artificial intelligence transforming whole industries and sectors whether you are a medical researcher roboticist or building autonomous cars. What we do really makes a difference. Responsibilities: Responsible for the research of speech-related algorithms and implement them in actual business scenarios to achieve business results. Responsibilities are as follows: Automatic Speech Recognition/Text-To-Speech/Speech enhancement/Speech synthesis and other speech related tasks. Implement quickly by applying machine learning and natural language processing algorithms and propel the engineering productization businessization and continuous optimization of algorithm capabilities. Understand the technology development trend of related fields based on business features and carry out the exploration and academic research on different technical solutions. Requirements: Master degree or above in AI computer statistics combinatorics and optimization or similar disciplines; author of published articles in top journal conferences or winner of top competitions is a plus. Experience on ESPnet/Kaldi is a plus. Good command of English communication. Minimum one programming language is required; understand machine learning algorithm proficient in applying Python/C++/Shell and other tools familiar with at least one mainstream deep learning framework such as Tensorflow Pytorch etc. Think differently when encounter unknown problems strong analytical and problem-solving skills and be attached to challenging work; A good team player with a strong sense of responsibility a clear mind and good communication skills. We welcome people of different backgrounds and experiences and are committed to building an inclusive work environment that makes Graphcore a great home for everyone. We are an equal opportunity employer and want to build a work environment where everyone is happy productive and respectful so they can do their best work. If you have a disability or additional need that requires accommodation just let us know.,2022-03-29 15:41:25.488342,[China] Beijing China,Full-Time,18
310,NLP Engineer,SQUARE ENIX AI & ARTS Alchemy Co. Ltd.,Square Enix AI & Arts Alchemy is a newly created subsidiary in the Square Enix group. We operate as a start-up with secured funding. We explore new ways of entertainment by rethinking how character art animation and modern AI can be recombined and repurposed to create something genuinely new and exciting. Among other areas we focus on virtual avatars who can speak listen and act naturally and fluently. Have you ever wondered what it would be like to sit down and have a conversation with your favorite fictional character? Exchange thoughts like you would with a friend or colleague? That is the experience we are after. Drawing from recent even ongoing advances in conversational AI as well as modern game and even robotics technology we pursue this goal with the passion of gamers and technology enthusiasts. In this context we are looking for an experienced Natural Language Processing Engineer to harness the "dialogue" capabilities of the new AI language models and processes our research team is developing and help porting these prototypes to production-level interactive experiences. The ideal candidate should play well in our diverse team be curious of new technology and be able to deliver robust solutions in a timely manner. 【Responsibilities Include】 ・ Be a part of a team realizing real-time interactive conversation AI with humans. ・ Incorporation and testing of conversation AI modules in game engines. ・ Programming and extending of natural language processing systems as needed. ・ Training NLP models according to specifications given by researchers. ・ Implementation of conversational learning ability using deep learning. ・ Support our AI conversation research team in bringing their results to production. 【Basic Qualifications】 ・At least 2 years of experience doing development work in the field of Natural Language Processing. ・Experience with at least one modern deep learning framework such as Tensorflow or Pytorch ・Strong programming ability (C++ Python). ・Ability to communicate with the development team and be a team player. ・Proven ability to work self-sufficiently and be proactive in dealing with upcoming challenges. ・Basic written and verbal communication skills in English and Japanese. 【Preferred Qualifications】 ・Basic knowledge in voice recognition and voice synthesis technology. ・Experience with interactive contents development. ・Experience with game development. Are you hungry for more? Is traditional game development not satisfying you anymore? Do you have an AI background but have wondered how to connect to game development? Have a look at our recruitment site at https://www.squareenix-alchemy.com/ we would love to hear from you. Do you think you can contribute but none of our job postings reflects your personal skill set and motivation well? Send your application to the job description that fits what you want to do the closest and we will come back to you. There is no one-size fits all and we are open to exceptional candidates in relevant areas. Looking forward to hearing from you!,2022-03-29 15:41:25.488611,[Japan] Tokyo Japan,Full-Time,18
311,AI Engineer in Game Changing Companies / Top Startups at Tokyo or Global Remote,E-arth Inc,We are actively hiring for AI Engineer / AI Researcher / MLOps positions in Game Changing Companies / Top Startups at Tokyo or Global Remote. E-arth Inc is a recruitment agency specialized in AI. We support AI Engineers to find an ideal job. https://e-arth-recruit.net/ Domains : Vision AI Robotics Industry 4.0 NLP Speech Medicine Healthcare AGI Companies hiring AI Engineers : - AI Startup trying to solve social issues by the power of AI featured as No1 Startup with the most momentum by LinkedIn Japan - Healthcare AI Startup founded by Nobel Prize Candidate - SoftBank Group - Global Manufacturing Giant - one of Tesla's major battery suppliers making batteries more sustainable and intelligent by AI - AI Startup collaborating closely with TOYOTA group in Robotics fields building AI Robotics software independent of hardware like Windows Android and ROS - AI Startup trying to automate every possible machine - AI Startup applying space robotics technologies to real world problems - Game Changing IoT Company making IoT available for every possible device - AI Startup making voice/video communication better with AI analysis and suggestions - AGI Startup founded by Google AI Tech Lead who wrote the 1st TensorFlow model in the world Tech Stack : TensorFlow PyTorch Python C++ ROS Deep Learning Reinforcement Learning Vision NLP Speech Recognition and more Location : Most of jobs at Tokyo some at SiliconValley and others at tentative or permanent remote Salary/Benefits : Competitive Salary with various benefits Language : Many jobs are ok with working in English. Other jobs require Japanese skills. Preferred Experience/Academic Background : Outstanding candidates with good industry experience OR outstanding students from top universities with academic background in : either of math physics science/engineering in general computer science robotics AI,2022-03-29 15:41:25.488909,[Japan] Tokyo Japan,Full-Time,18
312,ML Engineer,tripla Co. Ltd.,Job Overview At tripla we make travelers happy. Whether it be for booking the perfect hotel room dining at the trendiest restaurant or partaking in an exciting excursion we build smart AI driven products to allow travelers plan the perfect trip. In the short amount of time that we’ve been around Tripla chatbot has become Japan’s most popular chatbot in the industry and the pace of growth is only increasing. We’re currently expanding our services into many other areas but we need a talented ML engineer to help us get there. As a ML engineer you’ll be responsible for the refining and upkeep of the ML models that power our products including: question/answer systems recommenders pricing predictors as well as others. Since AI is what gives Tripla its competitive advantage you’ll be a central figure as this company grows. You’ll be responsible for not only delivering powerful algorithms but also for building them for scale. This includes designing the data pipelines that feed our models and automating the training/inference process to enable continuous improvements. The ideal candidate is experienced and self-directed. Comfortable supporting multiple teams systems and products. The candidate is excited by the prospect of working with new AI technologies and cutting edge experimental products. Perhaps most importantly the candidate should want to be a part of a team. Nothing at Tripla is accomplished by one person. The candidate must have strong communication skills and the desire to tackle challenges as a group. Responsibilities * Develop and enhance our ML models: NLU time series prediction recommendation etc. * Evaluate and diagnose ML models. Analyze and clean the data being fed to them. * Build and upkeep automated machine learning data pipelines and training systems. * Work with stakeholders including the executive product data and design teams to come up with new ways we can utilize data to solve problems. * Automate and scale our resources and pipelines to accommodate the sharply increasing data requirements. Qualifications * 5+ years of some form of software engineering experience (at least 2 of which are in data science) * Experience building and optimizing ML models. * Extensive experience with object-oriented/object functional languages e.g. Python Ruby Java C++ etc. * Experience supporting and working with cross-functional teams in a dynamic environment. * English fluency Nice to haves * Graduate degree in computer science mathematics statistics or some other quantitative discipline. * Experience with NLP * Experience with tensorflow * Exposure to constructing automated training pipelines for machine learning models.,2022-03-29 15:41:25.488994,[Japan] Tokyo Japan,Full-Time,18
313,Robot development engineer,United World Inc,[Conditions] Employment Type: Permanent Trial period: 3 months Estimated annual income: 4-6 million yen Work location: Tokyo remote work Working hours: Flex. Core time 11: 00-17: 00 Holidays: 2 days a week (Saturdays and Sundays) national holidays Vacation: Summer vacation year-end and New Year holidays and other vacations available Overtime: Average month 20 hours Benefits: Complete social insurance commuting allowance (according to company regulations) and other benefits [Company Profile] We are pursuing cutting-edge robot technology based on humanoid robot technology. We have achieved numerous achievements in contract development of intelligent robots that take advantage of our customers' business characteristics and are contributing to solving business issues. Another feature is that we can handle both software technology and hardware technology in collaboration with group companies. Furthermore by developing new services that utilize robot technology and AI technology we are taking on the challenge of reducing social issues such as imbalances in employment opportunities and economic disparities. <Robots we are working on> ■ Humanoid robot ■ Drone ■ Mobile robot ■ Home robot ■ Industrial robot ■ FA system automatic machine [Background of recruitment] Pursuing cutting-edge robot technology. We have developed a highly autonomous remote control system in-house and have built up a number of achievements in the contract development of intelligent robots that take advantage of each customer's business characteristics. We are recruiting a large number of engineers this time in order to raise funds at the end of January further accelerate the development and commercialization of highly autonomous remote control systems and strengthen the system for business expansion. [Attractive points of company/work] Development engineers vary in age and nationality. Engineers who have a strong desire to "like robot development" are demonstrating their expertise. It started as a university-launched venture company that handles everything from design and development of robots and IoT systems to sales. What we value is the warmth of an altruistic heart and the excitement of creativity. You want to go further and develop a robot. There is an environment that can meet such wishes. In addition experts with high robot technology are active including the CTO who served as a specially appointed lecturer at the University of Tokyo. You can pursue cutting-edge technology by demonstrating your experience and skills in a high-level environment and engaging in development. [Job description] You can play an active part in a wide variety of robot development projects. We will take advantage of your experience and let you take full advantage of your skills. <Work content> ■ Development of robot control software for general-purpose middleware such as ROS (Robot Operating System) and RT middleware ■ Development of small embedded Linux board and related software [Requirements] ・ Experience involved in robot development (1 year or more) * Robocon at graduate school and technical college and activities in club activities are also OK! ・ Experience in developing control software on Linux + Python ・ Required Japanese ability: Those who can interview in Japanese. (Equivalent to N3 level)※English is OK when you can't explain in Japanese [Preferred requirements] ・ Experience in developing software in areas related to robotics and AI ・ ROS (Robot Operating System) ・ Image processing ・ Robot control ・ Natural language processing ・ Web server development experience ・ Experience of building a cloud server using AWS [About selection] Number of applicants: 15 Documents required for application: resume resume of work Online interview: Available Interview language: Japanese (English is OK when you can't explain in Japanese) Number of interviews (flow): 1 times → Submission of assignments (in parallel with submission of documents) Application for overseas residents: Available * May change depending on the situation of the candidate,2022-03-29 15:41:25.489357,[Japan] Greater Tokyo Area,Full-Time,18
314,Senior Research Engineer,Rakuten Institute of Technology,Job Description: Department Overview RIT (Rakuten Institute of Technology) is an R&D organization working on core research areas to contribute to Rakuten Business. RIT follows AIPPM (AI Platform Program Management) strategies to align research with Rakuten Business. TEG (Tokyo Engineering Group) works closely with RIT scientists to build production-adoptable AI prototypes and accelerate research in production. Flexibility to adopt to technology and business needs to build faster PoCs (Proof of Concepts) is essential. Position: Why We Hire RIT Engineering group’s mission is to accelerate research into production. We have highly talented researchers working on AI / ML and we want our engineering group to match and accelerate the pace. As  a Research Engineer you will have to work closely with researcher from end to end ML to research work. Position Details - Understand and implement new methods and models that have been proposed in top conferences and journals - Implement methods and models that RIT scientists have proposed - Conduct evaluation experiments of RIT's and other institutions' methods and models - Help scientists to keep up with research trends by reading new papers from top conferences and journals - Help scientists to utilize multi-GPU/multi-cluster environment to train models efficiently - Propose and implement data engineering solutions / ETL pipelines to consume Rakuten Data Mandatory Qualifications: - 5+ years experience with programming with Python - 3+ years experience with programming with PyTorch - 3+ years experience with experiments using terabytes of data - Experience with containerisation technologies like Docker / kubernetes - Master's degree in Computer Science - Strong written and verbal communication skills - Working in multi-cultured environment Desired Qualifications: - Ph.D. in Computer Science - Publications in top conferences / journals such as ACL EMNLP NAACL AAAI IJCAI ICLR NeurIPS ICML TheWebConf WSDM SIGIR KDD and CIKM. - Experience with using public cloud like GCP / AWS / Azure - Experience with Keras / Tensorflow - Experience with programming with Java / C / C++ -Languages: Japanese (N3 level as specified in https://www.jlpt.jp/e/about/levelsummary.html ) Additional information on English Qualification English (Fluent),2022-03-29 15:41:25.489816,[Japan] Tokyo Japan,Full-Time,18
315,Software Engineer,BoostDraft Inc.,# BoostDraft BoostDraft is an early-stage Series A startup developing an AI-assisted Document Editor. It is a new document editor that employs error checking reference checking auto-completion using both rule-based and NLP. We are applying the IDE for coding (e.g. VSCode Pycharm) to document editing. (Web page) https://boostdraft.com (Demo gif inside Japanese) https://boostdraft.com/jdjp.html?rf=rlif # Achievements We are currently focusing on Lawyers who draft long legal documents such as contracts or other types of legal documents. We started our company just one year ago and we already have ~3000 paid users mainly from the biggest firm from Japan. We have not received any funding so far but we are profitable and don't have to do so. # Accelerator Program # Our plan # Team Our team is pretty international. We are still a small team ~15 including part-time contractors but most of my team can speak both English and Japanese. Our company is engineering oriented. 80% of our team is software engineers Either English skill or Japanese skill is required. But Japanese skill is not mandatory # Working in Japan # Technical challenges # Job opportunities Responsibilities Qualification Looking forward to talking to you! Best Regards Yohei Fujii CEO/Co-founder of BoostDraft yohei@boostdraft.com,2022-03-29 15:41:25.490069,[Japan] Japan,Part-Time,18
